file,channel,variance_uV2,flatline,highvar
S001_run03,Fc5.,54267517.03998877,False,False
S001_run03,Fc3.,55039775.936928086,False,False
S001_run03,Fc1.,53607240.48211743,False,False
S001_run03,Fcz.,54792846.37244554,False,False
S001_run03,Fc2.,54586975.87171573,False,False
S001_run03,Fc4.,54131666.21664617,False,False
S001_run03,Fc6.,54782648.3384433,False,False
S001_run03,C5..,53377032.792367965,False,False
S001_run03,C3..,54321236.653217435,False,False
S001_run03,C1..,54022662.326629035,False,False
S001_run03,Cz..,54150895.984819464,False,False
S001_run03,C2..,54764560.740553305,False,False
S001_run03,C4..,54700044.56601056,False,False
S001_run03,C6..,54731132.95900899,False,False
S001_run03,Cp5.,54645664.33343966,False,False
S001_run03,Cp3.,54269571.2426852,False,False
S001_run03,Cp1.,54973417.41879013,False,False
S001_run03,Cpz.,54395748.09737073,False,False
S001_run03,Cp2.,53944028.80116698,False,False
S001_run03,Cp4.,54494092.248576894,False,False
S001_run03,Cp6.,54903518.96268097,False,False
S001_run03,Fp1.,54579645.0901606,False,False
S001_run03,Fpz.,54438913.74207988,False,False
S001_run03,Fp2.,54643946.06471453,False,False
S001_run03,Af7.,53767426.393598415,False,False
S001_run03,Af3.,54604538.911349274,False,False
S001_run03,Afz.,54583555.95488234,False,False
S001_run03,Af4.,54422880.61049231,False,False
S001_run03,Af8.,53903479.773239724,False,False
S001_run03,F7..,55067780.35078406,False,False
S001_run03,F5..,53844995.95858588,False,False
S001_run03,F3..,54895441.78642616,False,False
S001_run03,F1..,53998506.08226271,False,False
S001_run03,Fz..,55265074.162211955,False,False
S001_run03,F2..,55251845.97743646,False,False
S001_run03,F4..,54740714.15410751,False,False
S001_run03,F6..,54021398.40710846,False,False
S001_run03,F8..,54975740.36410138,False,False
S001_run03,Ft7.,54472093.07914647,False,False
S001_run03,Ft8.,54900651.570711076,False,False
S001_run03,T7..,53945178.7349589,False,False
S001_run03,T8..,54198858.6264939,False,False
S001_run03,T9..,53662856.369942226,False,False
S001_run03,T10.,54220885.98314724,False,False
S001_run03,Tp7.,53892129.0653568,False,False
S001_run03,Tp8.,54624769.41322645,False,False
S001_run03,P7..,54153707.877390355,False,False
S001_run03,P5..,54530549.9009783,False,False
S001_run03,P3..,54695260.61460208,False,False
S001_run03,P1..,54387706.22349265,False,False
S001_run03,Pz..,54656266.54365094,False,False
S001_run03,P2..,53460452.29210476,False,False
S001_run03,P4..,54669627.80793642,False,False
S001_run03,P6..,54380769.91516044,False,False
S001_run03,P8..,54045756.994106464,False,False
S001_run03,Po7.,54076794.666003816,False,False
S001_run03,Po3.,53519124.01229954,False,False
S001_run03,Poz.,54393007.845182784,False,False
S001_run03,Po4.,54536963.2036183,False,False
S001_run03,Po8.,54330754.79095116,False,False
S001_run03,O1..,54742010.68630181,False,False
S001_run03,Oz..,54768109.7294889,False,False
S001_run03,O2..,54147794.599639766,False,False
S001_run03,Iz..,54665959.158074714,False,False
