file,channel,variance_uV2,flatline,highvar
S001_run11,Fc5.,4474.36897159,False,False
S001_run11,Fc3.,4284.100155777499,False,False
S001_run11,Fc1.,4374.2698721975,False,False
S001_run11,Fcz.,4349.8102944375,False,False
S001_run11,Fc2.,4173.115275039999,False,False
S001_run11,Fc4.,3636.7755607900003,False,False
S001_run11,Fc6.,3428.90813975,False,False
S001_run11,C5..,4693.298757077499,False,False
S001_run11,C3..,3969.5182679775,False,False
S001_run11,C1..,4158.78841719,False,False
S001_run11,Cz..,4559.6128759775,False,False
S001_run11,C2..,4219.05354119,False,False
S001_run11,C4..,3438.32376231,False,False
S001_run11,C6..,3169.18797456,False,False
S001_run11,Cp5.,3614.6861558974997,False,False
S001_run11,Cp3.,3867.0680644374997,False,False
S001_run11,Cp1.,4021.90321319,False,False
S001_run11,Cpz.,4158.44786796,False,False
S001_run11,Cp2.,3750.10134375,False,False
S001_run11,Cp4.,3610.22029391,False,False
S001_run11,Cp6.,3425.3480669375003,False,False
S001_run11,Fp1.,12849.748394397498,False,False
S001_run11,Fpz.,9995.57621799,False,False
S001_run11,Fp2.,12103.85995916,False,False
S001_run11,Af7.,10006.5282339775,False,False
S001_run11,Af3.,9527.8047816775,False,False
S001_run11,Afz.,5555.950812159998,False,False
S001_run11,Af4.,6501.141929437499,False,False
S001_run11,Af8.,10153.045942097498,False,False
S001_run11,F7..,5541.00133319,False,False
S001_run11,F5..,6232.6675937499995,False,False
S001_run11,F3..,4842.4988085775,False,False
S001_run11,F1..,4906.812417239999,False,False
S001_run11,Fz..,4769.090216759999,False,False
S001_run11,F2..,4530.165275999999,False,False
S001_run11,F4..,4520.6895024975,False,False
S001_run11,F6..,4331.0594670975,False,False
S001_run11,F8..,4220.81248359,False,False
S001_run11,Ft7.,4144.9938312775,False,False
S001_run11,Ft8.,3229.3560439899998,False,False
S001_run11,T7..,3892.92327311,False,False
S001_run11,T8..,3565.5875953774994,False,False
S001_run11,T9..,2976.0369943899996,False,False
S001_run11,T10.,1819.3357729599998,False,False
S001_run11,Tp7.,3502.86477756,False,False
S001_run11,Tp8.,2794.0163935600003,False,False
S001_run11,P7..,3489.1492273975,False,False
S001_run11,P5..,3644.9967651099996,False,False
S001_run11,P3..,3858.56389375,False,False
S001_run11,P1..,3869.964413239999,False,False
S001_run11,Pz..,3931.0119623899996,False,False
S001_run11,P2..,3822.9254874375,False,False
S001_run11,P4..,3526.6145943900005,False,False
S001_run11,P6..,3141.8235159999995,False,False
S001_run11,P8..,2776.524587697499,False,False
S001_run11,Po7.,3725.9170553774998,False,False
S001_run11,Po3.,3873.176397559999,False,False
S001_run11,Poz.,4176.5861899374995,False,False
S001_run11,Po4.,3792.3357892399995,False,False
S001_run11,Po8.,3670.9119241974995,False,False
S001_run11,O1..,3956.922136937499,False,False
S001_run11,Oz..,3959.039036,False,False
S001_run11,O2..,4397.5089529775,False,False
S001_run11,Iz..,3888.281679159999,False,False
