file,channel,variance_uV2,flatline,highvar
S001_run01,Fc5.,3316.301632583646,False,False
S001_run01,Fc3.,3192.7589483568763,False,False
S001_run01,Fc1.,3210.096719589828,False,False
S001_run01,Fcz.,3089.966637622614,False,False
S001_run01,Fc2.,2891.4004286377144,False,False
S001_run01,Fc4.,2384.517279870582,False,False
S001_run01,Fc6.,1972.0975382961565,False,False
S001_run01,C5..,2877.4333732531577,False,False
S001_run01,C3..,2672.2358635006544,False,False
S001_run01,C1..,2808.3878198065036,False,False
S001_run01,Cz..,2929.3284882151133,False,False
S001_run01,C2..,2736.6319065775324,False,False
S001_run01,C4..,2085.183816083966,False,False
S001_run01,C6..,1524.558822718607,False,False
S001_run01,Cp5.,2358.0357522234444,False,False
S001_run01,Cp3.,2548.1582410642295,False,False
S001_run01,Cp1.,2765.3197601451225,False,False
S001_run01,Cpz.,2799.6285037204384,False,False
S001_run01,Cp2.,2459.564022933603,False,False
S001_run01,Cp4.,2124.9526454162183,False,False
S001_run01,Cp6.,1708.3842443962474,False,False
S001_run01,Fp1.,12165.673544567571,False,False
S001_run01,Fpz.,9297.026793872614,False,False
S001_run01,Fp2.,11015.115505534466,False,False
S001_run01,Af7.,9566.630112862385,False,False
S001_run01,Af3.,9178.633815464593,False,False
S001_run01,Afz.,4860.352307416941,False,False
S001_run01,Af4.,5758.87112465567,False,False
S001_run01,Af8.,8926.105916378325,False,False
S001_run01,F7..,4722.5419766926725,False,False
S001_run01,F5..,5499.586321511354,False,False
S001_run01,F3..,3992.1651195915074,False,False
S001_run01,F1..,3942.2998429416657,False,False
S001_run01,Fz..,3697.976800549248,False,False
S001_run01,F2..,3574.8801212291723,False,False
S001_run01,F4..,3389.309054017737,False,False
S001_run01,F6..,3321.557821895575,False,False
S001_run01,F8..,4739.006787815356,False,False
S001_run01,Ft7.,3051.206391049113,False,False
S001_run01,Ft8.,1307.739251786734,False,False
S001_run01,T7..,2427.06435429824,False,False
S001_run01,T8..,1347.4942621271164,False,False
S001_run01,T9..,1981.3996270743753,False,False
S001_run01,T10.,565.5389625499698,False,False
S001_run01,Tp7.,2039.7221755639443,False,False
S001_run01,Tp8.,1036.4303544809025,False,False
S001_run01,P7..,2134.066000025195,False,False
S001_run01,P5..,2324.2086122262162,False,False
S001_run01,P3..,2667.279554849167,False,False
S001_run01,P1..,2795.647180025531,False,False
S001_run01,Pz..,2779.874139848159,False,False
S001_run01,P2..,2522.8659331748854,False,False
S001_run01,P4..,2250.1690926078336,False,False
S001_run01,P6..,1674.5240732393004,False,False
S001_run01,P8..,1290.9660603563389,False,False
S001_run01,Po7.,2455.4775916987196,False,False
S001_run01,Po3.,2734.2888865455357,False,False
S001_run01,Poz.,2908.5724527071857,False,False
S001_run01,Po4.,2263.9204963278517,False,False
S001_run01,Po8.,2110.569311634977,False,False
S001_run01,O1..,2730.68134858531,False,False
S001_run01,Oz..,2617.953932704582,False,False
S001_run01,O2..,3191.442699784584,False,False
S001_run01,Iz..,2684.214945568647,False,False
